URL,Title,Publish date,Authors,Section,Tags,Sort (Engaged minutes),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Views new vis.,Avg. views new vis.,Views ret. vis.,Avg. views ret. vis.,Minutes New Vis.,Avg. minutes new vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Video starts,Video minutes watched,Website views,AMP views,Fb instant views
https://www.therecord.com/news-story/8969970-kitchener-development-includes-grocery-store-60-apartments/,"Kitchener development includes grocery store, 60 apartments",2018-10-16 14:58,catherine thompson,news|local,"category:news,images:2,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",3976,5916,6603,3976,1426,4490,1744,1.039,4859,1.082,997,0.594,2978,0.663,3086.0,2866,651,425.0,3128.0,184.0,657.0,2208.0,1869.0,247.0,3.0,,201,167,34,,,,,6603,,
https://www.therecord.com/news-story/8971296-bernardo-denied-parole/,Bernardo denied parole,2018-10-17 16:30,susan clairmont,news|local,"category:news,images:3,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",3007,2169,2250,3007,670,1499,688,1.036,1563,1.043,929,1.399,2077,1.386,651.0,1386,213,,633.0,5.0,186.0,1426.0,1378.0,48.0,,,678,658,20,,,,,2250,,
https://www.therecord.com/news-story/8969461-9-vehicle-crash-sends-4-to-hospital-2-with-life-threatening-injuries/,"9-vehicle crash sends 4 to hospital, 2 with life-threatening injuries",2018-10-16 11:36,Staff,news|local,"category:news,images:1,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",2288,4523,4943,2288,1534,2989,1728,1.101,3215,1.076,811,0.517,1477,0.494,2583.0,1853,507,902.0,2863.0,65.0,226.0,851.0,744.0,107.0,,,80,79,1,,,,,4943,,
https://www.therecord.com/news-story/8969560-bluevale-students-in-weekend-fight-sending-one-to-hospital/,"Bluevale students in weekend fight, sending one to hospital",2018-10-16 18:32,liz monteiro,news|local,"category:news,images:0,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",1738,2597,2913,1738,1015,1582,1082,1.098,1831,1.157,700,0.711,1038,0.656,1368.0,1338,207,596.0,1419.0,42.0,218.0,638.0,529.0,96.0,,,61,59,2,,,,,2913,,
https://www.therecord.com/news-story/8969743-hespeler-headshop-predicts-backwards-momentum/,Hespeler headshop predicts ‘backwards’ momentum,2018-10-16 14:02,jeff hicks,news|local,"category:news,images:1,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",1529,1418,1526,1529,342,1076,367,1.04,1159,1.077,364,1.031,1164,1.082,931.0,495,100,83.0,1135.0,25.0,49.0,234.0,183.0,51.0,,,10,4,6,,,,,1526,,
https://www.therecord.com/news-story/8972173-cannabis-quietly-comes-to-waterloo-region/,Cannabis quietly comes to Waterloo Region,2018-10-17 14:12,laura booth,news|local,"category:news,images:1,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",1459,1320,1390,1459,346,974,384,1.055,1006,1.033,391,1.074,1067,1.095,272.0,1001,117,37.0,508.0,9.0,63.0,770.0,677.0,93.0,,,173,165,8,,,,,1390,,
https://www.therecord.com/news-story/8967403-waterloo-grow-your-own-startup-ready-to-bloom/,Waterloo grow-your-own startup ready to bloom,2018-10-15 15:08,terry pender,news|business,"category:news,images:1,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|business,video:no",1193,1173,1244,1193,437,736,456,1.06,788,1.071,451,1.049,742,1.008,516.0,621,107,306.0,509.0,64.0,206.0,159.0,129.0,16.0,3.0,,72,66,6,,,,,1244,,
https://www.therecord.com/news-story/8969797-cannabis-business-comes-out-of-the-shadows/,Cannabis business comes out of the shadows,2018-10-16 13:02,greg mercer,news|local,"category:news,images:1,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",1182,1029,1123,1182,266,763,304,1.056,819,1.073,309,1.073,872,1.143,686.0,363,74,50.0,867.0,22.0,58.0,126.0,115.0,11.0,,,19,14,5,,,,,1123,,
https://www.therecord.com/news-story/8970082-light-rail-causing-little-debate-this-election/,Light rail causing little debate this election,2018-10-16 14:58,johanna weidner,news|local,"category:news,images:1,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",1125,958,1012,1125,337,621,348,1.027,664,1.069,375,1.106,749,1.206,620.0,311,81,150.0,651.0,37.0,62.0,112.0,50.0,62.0,,,66,34,32,,,,,1012,,
https://www.therecord.com/opinion-story/8968346-bernardo-parole-hearing-set-for-wednesday/,Bernardo parole hearing set for Wednesday,2018-10-17 01:30,susan clairmont,opinion,"category:news,category:opinion,images:2,manual_torstar_tag:4,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",774,402,449,774,100,302,106,1.029,343,1.136,221,2.146,553,1.831,282.0,109,58,2.0,358.0,4.0,13.0,69.0,53.0,16.0,,,9,7,2,,,,,449,,
