URL,Title,Publish date,Authors,Section,Tags,Sort (Engaged minutes),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Views new vis.,Avg. views new vis.,Views ret. vis.,Avg. views ret. vis.,Minutes New Vis.,Avg. minutes new vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Video starts,Video minutes watched,Website views,AMP views,Fb instant views
https://www.thespec.com/news-story/8962725-terror-in-the-stairwell/,Terror in the stairwell,2018-10-13 02:00,susan clairmont,news|local,"category:news,images:2,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",17107,5341,6358,17107,1519,3822,1590,1.058,4768,1.248,5397,3.591,11710,3.064,2046.0,3515,797,162.0,4257.0,121.0,424.0,1380.0,979.0,401.0,,,176,158,18,,,,,6358,,
https://www.thespec.com/news-story/8962625-sgro-asks-thespec-to-remove-critical-opinion-piece-threatens-election-advertising-complaint/,Sgro asks TheSpec to remove critical opinion piece; threatens election advertising complaint,2018-10-12 14:30,matthew van dongen,news|municipal election,"category:news,images:2,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,subcategory:news|municipal election,video:no",2211,2998,3400,2211,977,2021,1145,1.082,2255,1.116,809,0.765,1402,0.694,1053.0,1800,547,160.0,1361.0,26.0,498.0,1346.0,879.0,419.0,,,398,279,119,,,,,3400,,
https://www.thespec.com/opinion-story/8956564-a-platform-built-on-falsehoods/,A platform built on falsehoods,2018-10-11 05:00,ryan mcgreal,opinion,"category:opinion,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:opinion|commentary,video:no",1744,1288,1379,1744,539,749,560,1.033,819,1.093,720,1.328,1024,1.367,308.0,897,174,43.0,382.0,1.0,118.0,834.0,534.0,299.0,,,413,268,145,,,,,1379,,
https://www.thespec.com/opinion-story/8962789-the-spectator-s-view-rejecting-lrt-now-a-historic-mistake-for-hamilton/,The Spectator’s view: Rejecting LRT now a historic mistake for Hamilton,2018-10-12 14:42,Staff,opinion,"category:news,category:opinion,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|municipal election,subcategory:opinion|editorial,video:no",1628,2020,2152,1628,730,1290,725,1.084,1427,1.106,612,0.915,1016,0.788,524.0,1334,294,444.0,702.0,224.0,141.0,639.0,263.0,376.0,,,247,188,59,,,,,2152,,
https://www.thespec.com/opinion-story/8962293-what-does-a-real-leader-look-like-/,What does a real leader look like?,2018-10-12 10:50,wade poziomka,opinion,"category:opinion,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:opinion|commentary,video:no",1411,819,911,1411,482,337,534,1.043,377,1.119,861,1.682,550,1.632,137.0,657,117,36.0,2.0,8.0,87.0,778.0,225.0,539.0,14.0,,336,192,144,,,,,911,,
https://www.thespec.com/news-story/8894782-mayor-race-information-for-hamilton-voters/,Mayor race information for Hamilton voters,2018-09-12 07:52,Staff,news|municipal election,"category:news,images:0,manual_torstar_tag:7,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|municipal election,video:no",1359,480,600,1359,242,238,294,1.157,306,1.286,725,2.854,633,2.66,186.0,327,87,58.0,500.0,3.0,31.0,4.0,3.0,,,,1,1,,,,,,600,,
https://www.thespec.com/news-story/8963695-two-missing-men-one-death-and-a-bizarre-mystery/,"Two missing men, one death — and a bizarre mystery",2018-10-13 11:52,Staff,news|ontario,"category:news,images:1,manual_torstar_tag:3,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|ontario,video:no",1097,1152,1355,1097,237,915,251,1.037,1104,1.207,266,1.099,830,0.907,277.0,843,235,6.0,639.0,11.0,63.0,629.0,439.0,190.0,,,36,34,2,,,,,1355,,
https://www.thespec.com/news-story/8962906-nasa-official-tense-moments-but-calm-crew-in-aborted-launch/,NASA official: Tense moments but calm crew in aborted launch,2018-10-12 15:00,vladimir isachenkov,news|world,"category:news,images:0,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|world,video:no",1076,704,736,1076,550,154,571,1.021,165,1.071,852,1.524,223,1.448,355.0,265,116,2.0,34.0,693.0,7.0,,,,,,2,1,1,,,,,736,,
https://www.thespec.com/opinion-story/8962896-coun-pasuta-throws-support-to-sgro/,Coun. Pasuta throws support to Sgro,2018-10-12 14:40,andrew dreschel,opinion,"category:news,category:opinion,images:3,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|municipal election,subcategory:opinion|columns,video:no",932,738,792,932,167,571,165,1.078,627,1.098,214,1.399,718,1.257,291.0,389,112,29.0,377.0,36.0,49.0,301.0,127.0,174.0,,,37,25,12,,,,,792,,
https://www.thespec.com/opinion-story/8962932-roam-chew-charm-repeat-goats-chew-out-invasive-species-in-mcmaster-forest/,"Roam, chew, charm, repeat: Goats chew out invasive species in McMaster Forest",2018-10-13 02:00,kathy renwald,opinion,"category:opinion,images:4,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:opinion|columns,subcategory:opinion|commentary,video:no",909,900,1004,909,320,580,348,1.045,656,1.131,339,1.018,569,0.981,310.0,552,142,146.0,582.0,54.0,94.0,128.0,87.0,39.0,,,104,96,8,,,,,1004,,
