URL,Title,Publish date,Authors,Section,Tags,Sort (Engaged minutes),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Views new vis.,Avg. views new vis.,Views ret. vis.,Avg. views ret. vis.,Minutes New Vis.,Avg. minutes new vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Video starts,Video minutes watched,Website views,AMP views,Fb instant views
https://www.thespec.com/news-story/8894034-tragic-end-to-search-for-noah/,Tragic end to search for Noah,2018-09-12 01:10,laura booth,news|local,"category:news,images:2,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:waterloochronicle,subcategory:news|local,video:no",49220,57994,61109,49220,44973,13021,47358,1.049,13751,1.056,38292,0.848,10927,0.839,10507.0,45293,5309,7.0,6730.0,47.0,14891.0,39427.0,39151.0,211.0,,,7062,7062,,,,,,61109,,
https://www.thespec.com/news-story/8913759-hamilton-man-arrested-in-mobster-musitano-murder-police-hunt-for-two-others/,"Hamilton man arrested in mobster Musitano murder, police hunt for two others",2018-09-21 01:00,nicole o'reilly,news|crime,"category:news,images:5,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|crime,subcategory:news|local,video:no",47353,25885,36921,47353,9315,16570,12744,1.166,24177,1.459,19234,1.759,28119,1.697,9892.0,24516,2513,2974.0,13491.0,676.0,5318.0,14314.0,13922.0,245.0,,,348,338,10,,,,,36921,,
https://www.thespec.com/news-story/8874256-a-precarious-life-survey-of-1-200-hamilton-millenials-not-a-nice-picture-/,"A precarious life: Survey of 1,200 Hamilton millenials ‘not a nice picture’",2018-09-01 05:10,steve buist,news|local,"category:news,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",32350,16530,19053,32350,6110,10420,6914,1.075,12139,1.165,12310,1.914,20039,1.923,3617.0,13401,2035,5863.0,4502.0,2027.0,3485.0,3167.0,2296.0,602.0,34.0,,1064,882,182,,,,,19053,,
https://www.thespec.com/opinion-story/8902640-adult-child-of-dundas-arson-murder-victims-a-suspect-in-their-killings/,Adult child of Dundas arson murder victims a suspect in their killings,2018-09-17 02:40,susan clairmont,opinion,"category:news,category:opinion,images:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|crime,subcategory:news|local,subcategory:opinion|columns,subcategory:opinion|commentary,video:no",29835,17986,24330,29835,5991,11995,7639,1.124,16691,1.391,11238,1.654,18596,1.55,6502.0,14066,3762,2051.0,9831.0,528.0,2928.0,8900.0,8655.0,240.0,4.0,,784,780,4,,,,,24330,,
https://www.thespec.com/news-story/8900903-killer-hid-in-bushes-waiting-to-shoot-hamilton-man/,"Killer hid in bushes, waiting to shoot Hamilton man",2018-09-14 17:34,nicole o'reilly,news|crime,"category:news,images:5,manual_torstar_tag:3,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|crime,subcategory:news|local,video:no",29766,20429,27053,29766,8016,12413,9702,1.157,17351,1.398,12382,1.477,17384,1.4,7378.0,16721,2954,4424.0,12154.0,203.0,2678.0,7460.0,6596.0,833.0,27.0,,493,477,16,,,,,27053,,
https://www.thespec.com/living-story/8905857-she-was-only-11-but-her-mom-knew-something-was-terribly-wrong/,"She was only 11, but her mom knew something was terribly wrong",2018-09-17 07:30,jacqueline dooley,living|health,"category:living,category:news,images:2,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:living|health,video:no",23251,6465,7136,23251,2172,4293,2434,1.047,4702,1.095,7679,3.303,15572,3.627,3608.0,2816,712,156.0,3381.0,1736.0,531.0,1330.0,422.0,908.0,,,124,98,26,,,,,7136,,
https://www.thespec.com/news-story/8877228--i-wish-she-could-see-this-anya-10-dies-of-cancer-as-community-rallies-in-support/,"‘I wish she could see this’: Anya, 10, dies of cancer as community rallies in support",2018-09-04 01:00,natalie paddon,news|local,"category:news,images:4,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",22936,17822,20857,22936,7244,10578,7908,1.028,12949,1.224,9845,1.28,13090,1.237,3867.0,15052,1938,1446.0,5347.0,186.0,1718.0,12122.0,10599.0,1452.0,71.0,,5107,5032,75,,,,,20857,,
https://www.thespec.com/opinion-story/8914753-in-honour-of-educational-assistants/,In honour of Educational Assistants,2018-09-20 10:44,ken durkacz,opinion,"category:opinion,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:opinion|commentary,video:no",22777,15329,17928,22777,11615,3714,13235,1.073,4693,1.264,17103,1.386,5673,1.527,2252.0,13676,2000,308.0,594.0,61.0,4711.0,12245.0,12097.0,136.0,,,14477,14387,90,,,,,17928,,
https://www.thespec.com/news-story/8900940-canadians-who-smoke-pot-or-work-or-invest-in-it-will-be-barred-from-the-u-s-says-customs-official/,"Canadians who smoke pot, or work or invest in it, will be barred from the U.S., says Customs official",2018-09-14 02:38,daniel dale,news|cannabis and you,"category:news,images:1,manual_torstar_tag:12,manual_torstar_tag:14,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|canada,subcategory:news|cannabis and you,video:no",22160,22735,25121,22160,13157,9578,14662,1.063,10459,1.092,12832,0.93,9328,0.974,4115.0,19228,1778,620.0,4875.0,7374.0,3147.0,9101.0,8922.0,158.0,6.0,,3507,3492,15,,,,,25121,,
https://www.thespec.com/news-story/8919748-early-morning-homicide-in-hamilton-s-east-end/,Early-morning homicide in Hamilton’s east end,2018-09-24 00:00,steve buist,news|crime,"category:news,images:3,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|crime,subcategory:news|local,video:no",21695,25292,30848,21695,7434,17858,8075,1.054,22773,1.275,6921,0.904,14774,0.827,6135.0,22219,2494,982.0,10730.0,1385.0,2682.0,14996.0,13852.0,950.0,,,1388,1364,24,,,,,30848,,
