URL,Title,Publish date,Authors,Section,Tags,Sort (Engaged minutes),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Views new vis.,Avg. views new vis.,Views ret. vis.,Avg. views ret. vis.,Minutes New Vis.,Avg. minutes new vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Video starts,Video minutes watched,Website views,AMP views,Fb instant views
https://www.thespec.com/news-story/8947752-daughter-s-last-text-i-m-sorry-we-stole-a-car-and-we-re-in-a-high-speed-chase-/,"Daughter’s last text: ‘I’m sorry, we stole a car and we’re in a high-speed chase’",2018-10-05 16:04,jeff outhit,news|local,"category:news,images:2,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:waterlooregionrecord,subcategory:news|local,video:no",17775,12226,13441,17775,5119,7107,5355,1.049,8086,1.138,7708,1.51,10067,1.416,4028.0,8623,790,13.0,5713.0,12.0,1456.0,6232.0,5999.0,233.0,,,455,451,4,,,,,13441,,
https://www.thespec.com/news-story/8962725-terror-in-the-stairwell/,Terror in the stairwell,2018-10-13 02:00,susan clairmont,news|local,"category:news,images:2,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",17107,5341,6358,17107,1519,3822,1590,1.058,4769,1.248,5397,3.591,11710,3.064,2046.0,3515,797,162.0,4257.0,121.0,424.0,1380.0,979.0,401.0,,,176,158,18,,,,,6358,,
https://www.thespec.com/news-story/8951045--this-isn-t-the-end-of-your-story-/,‘This isn’t the end of your story’,2018-10-09 01:00,cheryl clock,news|local,"category:news,images:11,news_source:newsgate,primary_publication:stcatharinesstandard,subcategory:news|local,video:no",12065,8716,9567,12065,2291,6425,2361,1.041,7206,1.122,2761,1.218,9304,1.448,3290.0,5004,1273,15.0,5126.0,19.0,1187.0,3217.0,2961.0,256.0,,,438,434,4,,,,,9567,,
https://www.thespec.com/news-story/8894782-mayor-race-information-for-hamilton-voters/,Mayor race information for Hamilton voters,2018-09-12 07:52,Staff,news|municipal election,"category:news,images:0,manual_torstar_tag:7,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|municipal election,video:no",10853,3651,4827,10853,1525,2126,1999,1.159,2828,1.33,5031,2.917,5821,2.738,2008.0,2230,589,292.0,3936.0,29.0,436.0,122.0,70.0,,,,33,32,1,,,,,4827,,
https://www.thespec.com/news-story/8949996--it-s-alarming-zero-grade-six-students-meet-provincial-standard-at-one-hamilton-public-school/,‘It’s alarming’: Zero grade six students meet provincial standard at one Hamilton public school,2018-10-06 07:02,joanna frketich,news|local,"category:news,images:1,manual_torstar_tag:1,primary_publication:hamiltonspectator,subcategory:news|local,video:no",9614,6822,7730,9614,2306,4516,2670,1.034,5060,1.12,3558,1.377,6056,1.341,1682.0,5208,840,313.0,2316.0,755.0,1021.0,3310.0,2830.0,480.0,,,708,678,30,,,,,7730,,
https://www.thespec.com/news-story/8958975-long-lost-plane-found-31-years-after-it-vanished-passenger-s-remains-still-missing/,"Long lost plane found 31 years after it vanished, passenger’s remains still missing",2018-10-11 02:02,Staff,news|canada,"category:news,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|canada,video:no",9370,15591,16459,9370,11044,4547,11313,0.996,5146,1.132,6389,0.562,2980,0.655,4249.0,11236,974,129.0,5944.0,196.0,9864.0,323.0,232.0,91.0,,,30,26,4,,,,,16459,,
https://www.thespec.com/opinion-story/8950050-while-she-sits-in-healing-lodge-there-is-little-sign-terri-lynne-mcclintic-has-changed-her-ways/,"While she sits in healing lodge, there is little sign Terri-Lynne McClintic has changed her ways",2018-10-06 09:21,rosie dimanno,opinion,"category:news,category:opinion,images:1,primary_publication:hamiltonspectator,subcategory:opinion|columns,video:no",7894,3778,4344,7894,1497,2281,1646,1.061,2698,1.183,3510,2.262,4383,1.922,1444.0,2455,445,856.0,1379.0,33.0,249.0,1815.0,1722.0,93.0,,,305,303,2,,,,,4344,,
https://www.thespec.com/news-story/8950830-limousine-crash-leaves-20-dead-in-upstate-new-york/,Limousine crash leaves 20 dead in upstate New York,2018-10-07 12:24,michael hill and john kekis,news|world,"category:news,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|world,video:no",7477,6443,7284,7477,1748,4695,2037,1.058,5247,1.118,2049,1.064,5427,1.156,1790.0,4495,999,170.0,2880.0,256.0,661.0,3300.0,2777.0,523.0,,,604,600,4,,,,,7284,,
https://www.thespec.com/news-story/8960078-mother-charged-in-death-of-son-swept-away-in-swollen-ontario-river/,Mother charged in death of son swept away in swollen Ontario river,2018-10-11 12:40,michelle mcquigge,news|ontario,"category:news,images:2,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|ontario,video:no",7427,9653,10234,7427,3407,6246,3524,1.039,6710,1.074,2649,0.781,4778,0.765,2920.0,6264,1050,75.0,3963.0,95.0,1045.0,5044.0,4649.0,394.0,,,1522,1513,9,,,,,10234,,
https://www.thespec.com/opinion-story/8953367-cogeco-s-efforts-are-not-good-enough/,Cogeco’s efforts are not good enough,2018-10-09 05:26,ellen roseman,opinion,"category:news,category:opinion,images:2,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|business,subcategory:opinion|columns,video:no",7041,5966,6668,7041,2713,3253,3013,1.059,3655,1.124,3401,1.195,3640,1.119,2708.0,3162,798,1438.0,2871.0,982.0,827.0,543.0,444.0,99.0,,,113,108,5,,,,,6668,,
