URL,Title,Publish date,Authors,Section,Tags,Sort (Engaged minutes),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Views new vis.,Avg. views new vis.,Views ret. vis.,Avg. views ret. vis.,Minutes New Vis.,Avg. minutes new vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Video starts,Video minutes watched,Website views,AMP views,Fb instant views
https://www.thespec.com/living-story/8967137-why-do-we-love-to-hate-eugenie-and-beatrice-/,Why do we love to hate Eugenie and Beatrice?,2018-10-17 02:00,sarah laing,living|style,"category:living,category:news,category:whatson,images:2,manual_torstar_tag:18,manual_torstar_tag:6,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:living|style,subcategory:news|world,subcategory:whatson|celebrity,video:no",13610,8530,8966,13610,5447,3083,5752,1.06,3214,1.042,8502,1.567,5108,1.657,1197.0,5595,2174,4783.0,1233.0,954.0,1984.0,1.0,1.0,,,,,,,,,,,8966,,
https://www.thespec.com/news-story/8971296-bernardo-denied-parole/,Bernardo denied parole,2018-10-17 16:30,susan clairmont,news|local,"category:news,images:3,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",11004,7499,8003,11004,3134,4371,3202,1.047,4841,1.108,4619,1.513,6384,1.463,2112.0,5095,796,212.0,2246.0,176.0,915.0,4443.0,4214.0,229.0,,,2714,2694,20,,,,,8003,,
https://www.thespec.com/opinion-story/8968346-bernardo-parole-hearing-set-for-wednesday/,Bernardo parole hearing set for Wednesday,2018-10-17 01:30,susan clairmont,opinion,"category:news,category:opinion,images:2,manual_torstar_tag:4,manual_torstar_tag:6,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",6885,3712,4190,6885,2086,1626,2302,1.059,1888,1.161,4133,1.901,2752,1.692,1459.0,2335,396,626.0,1436.0,37.0,1022.0,1065.0,1019.0,46.0,,,46,44,2,,,,,4190,,
https://www.thespec.com/news-story/8970712-two-hamilton-men-charged-in-weapons-call/,Two Hamilton men charged in weapons call,2018-10-17 15:36,nicole o'reilly,news|local,"category:news,images:1,manual_torstar_tag:3,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",3155,5091,6015,3155,1438,3653,1636,1.06,4379,1.199,1081,0.701,2074,0.568,2058.0,3594,363,159.0,2746.0,671.0,451.0,1981.0,1978.0,3.0,,,4,4,,,,,,6015,,
https://www.thespec.com/news-story/8971460-tory-mpp-formally-complains-that-horwath-pushed-her-in-the-legislature/,Tory MPP formally complains that Horwath ‘pushed’ her in the legislature,2018-10-17 14:10,robert benzie,news|ontario,"category:news,images:1,manual_torstar_tag:13,manual_torstar_tag:14,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|ontario,video:no",2574,2234,2507,2574,552,1682,656,1.074,1851,1.1,729,1.193,1844,1.096,1154.0,975,378,156.0,1444.0,127.0,186.0,591.0,371.0,217.0,3.0,,230,225,5,,,,,2507,,
https://www.thespec.com/news-story/8969958-former-degrassi-high-actor-pleads-guilty-to-child-porn-charges/,Former ‘Degrassi High’ actor pleads guilty to child porn charges,2018-10-16 16:42,betsy powell,news|crime,"category:news,images:1,manual_torstar_tag:7,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|crime,video:no",2403,2318,2402,2403,815,1503,790,1.009,1612,1.073,925,1.181,1477,0.983,1245.0,972,185,89.0,1579.0,8.0,117.0,609.0,548.0,61.0,,,152,148,4,,,,,2402,,
https://www.thespec.com/news-story/8971296-low-self-esteem-led-bernardo-down-path-to-killings-parole-board-hears/,"Low self-esteem led Bernardo down path to killings, parole board hears",2018-10-17 09:16,susan clairmont,news|local,"category:news,images:1,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",2337,2340,2445,2337,566,1774,575,1.067,1870,1.054,544,1.009,1792,1.01,1023.0,1284,138,152.0,924.0,6.0,89.0,1272.0,1175.0,97.0,,,321,317,4,,,,,2445,,
https://www.thespec.com/news-story/8894782-mayor-race-information-for-hamilton-voters/,Mayor race information for Hamilton voters,2018-09-12 07:52,Staff,news|municipal election,"category:news,images:0,manual_torstar_tag:7,manual_torstar_tag:8,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|municipal election,video:no",2296,776,1091,2296,431,345,584,1.315,507,1.47,1305,2.939,991,2.872,476.0,361,254,146.0,793.0,38.0,78.0,36.0,35.0,,,,,,,,,,,1091,,
https://www.thespec.com/news-story/8970189-the-pearl-company-exits-stage-right/,The Pearl Company exits stage right,2018-10-17 02:00,gary smith,news|local,"category:news,images:4,manual_torstar_tag:18,manual_torstar_tag:3,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:news|local,video:no",2227,1735,1938,2227,603,1134,644,1.088,1296,1.143,846,1.429,1380,1.217,1029.0,643,266,23.0,1133.0,104.0,138.0,539.0,490.0,49.0,,,204,195,9,,,,,1938,,
https://www.thespec.com/whatson-story/8970674--the-conners-reveals-how-the-show-kills-off-roseanne-and-fired-roseanne-barr-responds/,‘The Conners’ reveals how the show kills off Roseanne — and fired Roseanne Barr responds,2018-10-17 03:56,bill keveney,whatson|television,"category:whatson,images:1,manual_torstar_tag:18,news_source:newsgate,primary_publication:hamiltonspectator,subcategory:whatson|television,video:no",1932,1877,1981,1932,423,1454,478,1.062,1503,1.034,438,0.973,1493,1.027,1074.0,773,134,45.0,1053.0,89.0,62.0,732.0,641.0,91.0,,,46,46,,,,,,1981,,
